#,Name of the polymer,CounterIon,Co-Ion,salt,Water-per-ion,concentration_of_salt_M,gr_minima_Ion_H2O,gr_peak_position_Ion_H2O,gr_peak_height_Ion_H2O,Nr_Ion_H2O,gr_minima_CG_H2O,gr_peak_position_CG_H2O,gr_peak_height_CG_H2O,Nr_CG_H2O_,gr_minima_CG_Ion,gr_peak_position_CG_Ion,gr_peak_height_CG_Ion,Nr_CG_Ion,Exp_act_coeff,Hopping_rate_Ion,"Diffcoeff (Oxy in H2O), A^2/ps",Diff_H2O_per_DH2O_inf,"Diffcoeff (Counterion), A^2/ps",Diff_Ion_per_DH2O_inf
68,CR61,Mg2+,Cl-,MgCl2,21,0.01,3,2.05,29,5,3.25,2.75,2.9,2.8,2.75,2,35,0.14,0.084644508,,0.180,0.319,0.004,0.007
69,CR61,Mg2+,Cl-,MgCl2,21,0.03,3,2.05,29,5,3.25,2.75,2.9,2.8,2.75,2,35,0.15,0.097077528,,0.166,0.292,0.006,0.011
70,CR61,Mg2+,Cl-,MgCl2,21,0.1,3,2.05,30,4.9,3.25,2.75,2.8,2.8,2.75,2,21,0.1,0.10351251,,0.151,0.268,0.014,0.025
71,CR61,Mg2+,Cl-,MgCl2,21,0.3,3,2.05,28,4.9,3.25,2.75,3,2.8,2.75,2,28,0.16,0.141606015,,0.133,0.235,0.007,0.012
72,CR61,Mg2+,Cl-,MgCl2,21,1,3,2.05,26,4.8,3.25,2.75,3.1,2.8,2.75,2,23,0.24,0.413699163,,0.067,0.118,0.003,0.005
73,NAFION,Mg2+,Cl-,MgCl2,14,0.01,3,2.05,38,5.3,3.3,2.75,3.3,2.8,3,2,17.5,0.12,0.0568,,0.097,0.172,0.002,0.003
74,NAFION,Mg2+,Cl-,MgCl2,14,0.03,3,2.05,36,4.9,3.3,2.75,3.4,2.8,3,2,24,0.16,0.0741,,0.073,0.130,0.003,0.005
75,NAFION,Mg2+,Cl-,MgCl2,14,0.1,3,2.05,37,4.9,3.3,2.75,3.3,2.8,3,2,18.5,0.14,0.0764,,0.072,0.127,0.002,0.003
76,NAFION,Mg2+,Cl-,MgCl2,14,0.3,3,2.05,34,4.9,3.3,2.75,3.4,2.8,3,2,19,0.17,0.1208,,0.064,0.113,0.001,0.002
77,NAFION,Mg2+,Cl-,MgCl2,14,1,3,2.05,33,4.9,3.3,2.75,3.6,2.8,3,2,15,0.22,0.3670,,0.023,0.041,0.000,0.001
78,NAFION,Na+,SO42-,Na2SO4,14,0.01,3.2,2.4,14.5,5.1,3.8,2.75,2.6,3.7,3.1,2.35,7.2,0.2,0.0012,,0.116,0.204,0.024,0.042
79,NAFION,Na+,SO42-,Na2SO4,14,0.03,3.2,2.4,13,4.6,3.8,2.75,2.6,3.7,3.1,2.35,7.6,0.25,0.0020,,0.112,0.198,0.027,0.048
80,NAFION,Na+,SO42-,Na2SO4,14,0.1,3.2,2.4,12.5,4.2,3.8,2.75,2.6,3.7,3.1,2.35,8.2,0.25,0.0021,,0.109,0.192,0.016,0.028
81,NAFION,Na+,SO42-,Na2SO4,14,0.3,3.2,2.4,10,3.6,3.8,2.75,2.5,3.4,3.1,2.35,8.7,0.4,0.0023,,0.115,0.203,0.011,0.020
82,NAFION,Na+,SO42-,Na2SO4,14,1,3.1,2.4,6.8,2.7,3.8,2.75,2.5,3.2,3.1,2.35,5.8,0.4,0.0027,,0.085,0.149,0.003,0.006
83,XLAPn4_9p,Na+,Cl-,NaCl,53,0.01,3.198,2.35,16.71,5.47,3.55,2.75,1.58,1.48,3.25,2.35,3.86,0.03,1.534674411,,0.091,0.161,0.016,0.028
84,XLAPn4_9p,Na+,Cl-,NaCl,53,0.03,3.17,2.35,16.52,5.32,3.58,2.75,1.46,1.4,3.15,2.35,5.13,0.04,1.561752323,,0.115,0.204,0.019,0.034
85,XLAPn4_9p,Na+,Cl-,NaCl,53,0.1,3.17,2.35,15.14,4.9,3.63,2.75,1.36,1.41,3.15,2.35,9.28,0.08,1.462774612,,0.105,0.185,0.017,0.030
86,XLAPn4_9p,Na+,Cl-,NaCl,53,0.3,3.17,2.35,15.84,5.1,3.7,2.75,1.44,1.56,3.1,2.35,6.13,0.07,1.520830815,,0.120,0.212,0.032,0.056
87,XLAPn4_9p,Na+,Cl-,NaCl,53,1,3.17,2.35,14.52,4.72,3.92,2.75,1.33,1.82,3.11,2.35,5.67,0.12,1.722726569,,0.088,0.156,0.024,0.043
88,XLAPn4_45p,Na+,Cl-,NaCl,24,0.01,3.18,2.35,9.81,4.62,3.43,2.75,1.69,2.02,3.01,2.35,7.72,0.14,0.600412371,,0.167,0.296,0.024,0.042
89,XLAPn4_45p,Na+,Cl-,NaCl,24,0.03,3.16,2.35,8.53,4.04,3.6,2.75,1.46,2.4,3.05,2.35,14.64,0.31,0.685773196,,0.165,0.292,0.022,0.039
90,XLAPn4_45p,Na+,Cl-,NaCl,24,0.1,3.17,2.35,9.7,4.6,3.55,2.75,1.68,2.33,3.05,2.35,8.3,0.18,0.667216495,,0.138,0.243,0.022,0.038
91,XLAPn4_45p,Na+,Cl-,NaCl,24,0.3,3.15,2.35,9.6,4.52,3.55,2.75,1.66,2.27,3.06,2.35,8.55,0.19,0.704329897,,0.136,0.241,0.022,0.040
92,XLAPn4_45p,Na+,Cl-,NaCl,24,1,3.16,2.35,9.29,4.43,3.75,2.75,1.48,2.53,3.07,2.35,9.42,0.3,0.819381443,,0.128,0.225,0.026,0.046
